Id: 	1
Winner: 	18527
Target: 	10004
Solution: 	06218403 (validated)
Votes: 	1/6
Wallets: 	18527:1
Id: 	2
Winner: 	18527
Target: 	6218403
Solution: 	09652435 (validated)
Votes: 	2/6
Wallets: 	18527:2
Id: 	3
Winner: 	18527
Target: 	9652435
Solution: 	01595423 (validated)
Votes: 	3/6
Wallets: 	18527:3
Id: 	4
Winner: 	18527
Target: 	1595423
Solution: 	01589273 (validated)
Votes: 	4/6
Wallets: 	18527:4
Id: 	5
Winner: 	18527
Target: 	1589273
Solution: 	07017594 (validated)
Votes: 	5/6
Wallets: 	18527:5
Id: 	6
Winner: 	18527
Target: 	7017594
Solution: 	04672343 (validated)
Votes: 	6/6
Wallets: 	18527:6
